Job Title,Company,Location,Skills,Links
Data Security Engineer,Misr International Systems -,"Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · CCNA · CCNP · Computer Science · Engineering · Information Technology (IT) · Infrastructure · Presales,https://wuzzuf.net/jobs/p/GC4dKxWYuvyF-Data-Security-Engineer-Misr-International-Systems-Giza-Egypt?o=1&l=sp&t=sj&a=data engineer|search-v3|hpb
Data Center Engineer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Computer Engineering · Information Technology (IT) · vSphere,https://wuzzuf.net/jobs/p/7zgMraWuoxvn-Data-Center-Engineer-Perfect-Presentation-Giza-Egypt?o=2&l=sp&t=sj&a=data engineer|search-v3|hpb
ETL Developer (Data Engineer),siParadigm Egypt -,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer · Computer Science · Architecture · Data · Data Warehouse · DM · ETL · Information Technology (IT),https://wuzzuf.net/jobs/p/45nIdFIB6hGN-ETL-Developer-Data-Engineer-siParadigm-Egypt-Cairo-Egypt?o=3&l=sp&t=sj&a=data engineer|search-v3|hpb
Data Engineer,Centro CDX -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Data · Database · Engineering · Information Technology (IT) · IT,https://wuzzuf.net/jobs/p/YgnlNerNUQml-Data-Engineer-Centro-CDX-Cairo-Egypt?o=4&l=sp&t=sj&a=data engineer|search-v3|hpb
ETL Developer (Data Engineer),Confidential -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Warehouse · DM · ETL · Informatica · Information Technology (IT) · MOLAP · RDBMS,https://wuzzuf.net/jobs/p/lh2XUX458sAE-ETL-Developer-Data-Engineer-Cairo-Egypt?o=5&l=sp&t=sj&a=data engineer|search-v3|hpb
BI/Data Analytics Engineer,Kandil Industries -,"10th of Ramadan City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · analytical · BI development · Power BI · SQL · Information Technology (IT) · Data,https://wuzzuf.net/jobs/p/lA4Kuw9LCwE4-BIData-Analytics-Engineer-Kandil-Industries-Cairo-Egypt?o=6&l=sp&t=sj&a=data engineer|search-v3|hpb
Sales Engineer,UNI Power -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Business Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Sales · Engineering · Sales Skills · Sales Target · Electrical · Solar · BMS,https://wuzzuf.net/jobs/p/VfTZyyS7Hv0D-Sales-Engineer-UNI-Power-Giza-Egypt?o=7&l=sp&t=sj&a=data engineer|search-v3|hpb
Senior Data Architect,Centro CDX -,"Cairo, Egypt ",Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Azure · Big Data · Computer Engineering · Computer Science · Data · Data Modeling · Data Warehousing,https://wuzzuf.net/jobs/p/MCqyKEXOPhe8-Senior-Data-Architect-Centro-CDX-Cairo-Egypt?o=8&l=sp&t=sj&a=data engineer|search-v3|hpb
Senior Cloud Solutions Engineer,Raya   -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Cloud · Engineering · Information Technology (IT) · PaaS · Software Engineering · Servers,https://wuzzuf.net/jobs/p/JCbSRwmCJUoj-Senior-Cloud-Solutions-Engineer-Raya-Giza-Egypt?o=9&l=sp&t=sj&a=data engineer|search-v3|hpb
Planning Engineer (Qalubia Residents Only),Multi M Group  -,"khanka, Qalubia, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Engineering - Mechanical/Electrical · Planning · Manufacturing · Engineering · Production · English · Microsoft Office · Computer Skills · Microsoft · SAP,https://wuzzuf.net/jobs/p/qxv2cq7xWt6e-Planning-Engineer-Qalubia-Residents-Only-Multi-M-Group-Qalubia-Egypt?o=10&l=sp&t=sj&a=data engineer|search-v3|hpb
SQL Data Platform Deputy Manager,e-finance -,"6th of October, Giza, Egypt ",Full TimeManager · 10 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer · Computer Engineering · SQL · SQL Server · SQL Server Database · Database · Engineering · Database Management,https://wuzzuf.net/jobs/p/yeQUtLbVW2Qi-SQL-Data-Platform-Deputy-Manager-e-finance-Giza-Egypt?o=11&l=sp&t=sj&a=data engineer|search-v3|hpb
Software Engineer,TensorGraph -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · JavaScript · SQL · Software Development · Software Engineering · chatbot · Algorithms · Data Structures,https://wuzzuf.net/jobs/p/gmWb12CPF9am-Software-Engineer-TensorGraph-Cairo-Egypt?o=12&l=sp&t=sj&a=data engineer|search-v3|hpb
Data Science Supervisor,Raya Customer Experience -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · BI · Analysis · SQL · Data · ETL · Information Technology (IT) · Programming · MySQL,https://wuzzuf.net/jobs/p/ZuPAyVt9b0Xd-Data-Science-Supervisor-Raya-Customer-Experience-Giza-Egypt?o=13&l=sp&t=sj&a=data engineer|search-v3|hpb
IT System Engineer / Infrastructure,Efada Technology -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Vmware · SQL · Microsoft Exchange · office 365 · active directory · DNS Server,https://wuzzuf.net/jobs/p/hSJCTJU7Q4AS-IT-System-Engineer-Infrastructure-Efada-Technology-Cairo-Egypt?o=14&l=sp&t=sj&a=data engineer|search-v3|hpb
Electrical Site Engineer,UNI Power -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Electrical Engineering · Engineering · Electrical · BMS · Sales · Solar · UPS · DC System,https://wuzzuf.net/jobs/p/fRkBLhXTp1Pp-Electrical-Site-Engineer-UNI-Power-Giza-Egypt?o=15&l=sp&t=sj&a=data engineer|search-v3|hpb
